#C_Ł_$	*	MANDATORY	zmysł, přinjesł, wotrostł, móhł ("ł" na kóncu po konsonanće so šmórny)
O_S_Ć	S	ALTERNATIVE	mudrosć, radosće, starosć, sylnosć, wěrnosć (s --> š)
O_Ž_$	j S	ALTERNATIVE	jenož
K_E_R	ji	ALTERNATIVE	najskerje, skerje (e --> ě)
N_Ě_Š	1	ALTERNATIVE	něšto
P_Ě_Š	1	ALTERNATIVE	spěšnje
L_Ě_Ć	1	ALTERNATIVE	nalěćo
L_Ě_Z	1	ALTERNATIVE	přelězć
W_Ě_M	1	ALTERNATIVE	wěm
Ó_Ń_D	n	ALTERNATIVE	póńdu
J_I_$	*	ALTERNATIVE	praji
J_I_Ć	*	ALTERNATIVE	předstajić
Ó_N_$	jn	ALTERNATIVE	són
